,gameId,teamId,champ_WR_dif,user_champ_WR,top_tier,jug_tier,mid_tier,carry_tier,support_tier,c_top_tier,c_jug_tier,c_mid_tier,c_carry_tier,c_support_tier,slayer,tank,fighter,mage,marksman,controller,c_slayer,c_tank,c_fighter,c_mage,c_marksman,c_controller,match_cnt,win
0,4682779055,100,-0.004640000000000033,60.4,1.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,176.6,True
0,4682788319,200,0.009500000000000008,54.8,5.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,229.2,True
0,4683297690,100,-0.0015800000000000037,48.2,2.0,2.0,5.0,2.0,5.0,3.0,1.0,5.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,42.0,True
0,4683368174,100,-0.015459999999999996,40.0,1.0,6.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,22.4,False
0,4684286900,200,-0.005100000000000005,56.2,2.0,6.0,2.0,2.0,3.0,4.0,3.0,6.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,21.0,True
0,4684421106,200,0.019019999999999992,42.2,2.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,15.8,False
0,4684447030,200,-0.0018000000000000238,54.2,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,147.8,False
0,4684697087,100,0.017759999999999998,60.2,4.0,4.0,4.0,6.0,3.0,5.0,3.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,175.2,True
0,4685341065,200,-0.012199999999999989,66.4,6.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,6.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,299.4,True
0,4685481564,100,-0.0241,58.2,3.0,3.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,112.0,True
0,4685508320,200,-0.0030999999999999917,59.6,2.0,1.0,1.0,2.0,5.0,3.0,4.0,5.0,5.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,55.2,False
0,4685986275,200,0.005039999999999966,57.6,1.0,1.0,1.0,2.0,6.0,1.0,1.0,5.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,65.8,True
0,4686200545,100,0.000660000000000005,58.8,3.0,2.0,6.0,6.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,49.6,True
0,4686227364,100,-0.0054800000000000074,43.6,5.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,1.0,6.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,381.4,False
0,4686246546,100,-0.013460000000000017,49.4,3.0,3.0,1.0,2.0,2.0,6.0,1.0,2.0,4.0,5.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,29.2,True
0,4686296908,100,0.021419999999999984,51.6,4.0,2.0,1.0,6.0,2.0,3.0,4.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,143.8,True
0,4686534648,200,-0.009820000000000018,56.8,4.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,5.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,67.4,True
0,4686580843,200,-0.004520000000000035,54.2,4.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,67.8,False
0,4686794195,100,0.01257999999999998,46.0,4.0,3.0,1.0,1.0,1.0,5.0,2.0,4.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,59.4,False
0,4686807090,200,-0.0010400000000000075,27.0,3.0,2.0,2.0,5.0,5.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,45.0,False
0,4686903251,100,0.0002800000000000136,62.4,5.0,2.0,5.0,1.0,3.0,6.0,2.0,6.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,19.2,True
0,4686970482,200,0.002859999999999985,45.0,2.0,3.0,6.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0,False
0,4687087792,100,0.021940000000000015,46.6,2.0,1.0,1.0,3.0,2.0,4.0,2.0,5.0,4.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,94.4,False
0,4687224819,200,-0.026739999999999996,56.8,2.0,4.0,6.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,153.8,True
