,gameId,top,jungle,mid,carry,support,count_top,count_jungle,count_mid,count_carry,count_support,champ_WR_dif,B_tier,R_tier
1603,4682779055,2,5,1,5,2,3,4,1,5,2,-0.004640000000000033,1.6,2.2
683,4682788319,3,3,4,5,6,3,1,1,5,6,0.009500000000000008,2.6,2.8
1333,4682965708,6,5,1,5,2,4,4,1,5,6,-0.0016599999999999948,1.6,3.2
1653,4683297690,3,5,4,5,6,3,5,2,5,6,-0.0015800000000000037,3.2,3.0
114,4683368174,2,4,4,5,2,2,4,1,5,6,-0.015459999999999996,1.6,2.4
1037,4684286900,3,4,5,5,2,3,3,5,5,6,-0.005100000000000005,2.6,1.8
113,4684421106,3,4,4,5,6,3,1,5,3,6,0.019019999999999992,2.6,2.8
442,4684447030,3,5,4,5,6,3,3,4,5,6,-0.0018000000000000238,1.8,1.8
1602,4684654570,3,1,2,5,2,4,3,1,5,3,0.01582,1.8,1.4
204,4684697087,1,4,1,4,6,3,2,1,5,6,0.017759999999999998,3.0,3.0
1498,4684776874,5,3,4,5,4,1,4,3,5,4,0.002739999999999987,2.2,2.8
1499,4684813403,5,3,3,1,1,3,3,4,5,4,-0.02208000000000001,1.8,2.2
203,4685341065,2,5,1,4,6,6,3,3,5,2,-0.012199999999999989,2.6,2.0
1681,4685481564,3,1,2,5,4,3,1,1,5,6,-0.0241,3.0,1.6
1301,4685508320,3,3,4,5,6,3,5,1,5,4,-0.0030999999999999917,3.8,2.2
682,4685536730,4,3,1,3,2,5,2,3,5,6,-0.03350000000000001,3.4,1.2
1142,4685986275,2,5,4,5,6,3,3,1,5,3,0.005039999999999966,2.2,1.0
621,4686200545,3,2,5,1,4,3,1,3,5,4,0.000660000000000005,1.4,3.0
1680,4686227364,3,1,3,5,6,3,3,4,5,3,-0.0054800000000000074,4.2,2.4
1170,4686246546,3,3,1,5,6,2,5,1,5,6,-0.013460000000000017,2.2,2.4
595,4686296908,1,3,1,4,2,3,4,1,4,2,0.021419999999999984,1.8,3.4
1141,4686534648,3,3,4,3,2,1,3,1,5,4,-0.009820000000000018,3.6,2.0
1140,4686580843,3,5,6,5,6,3,3,1,5,4,-0.004520000000000035,1.6,2.0
198,4686794195,3,1,1,5,6,4,3,3,5,4,0.01257999999999998,2.0,3.2
2054,4686807090,3,6,1,5,6,2,2,1,5,6,-0.0010400000000000075,2.4,3.4
977,4686903251,3,3,4,5,5,5,3,4,5,2,0.0002800000000000136,3.2,1.6
2036,4686970482,2,3,1,5,2,3,3,3,5,6,0.002859999999999985,1.8,2.6
2032,4687087792,3,3,1,5,2,3,3,4,5,6,0.021940000000000015,1.8,3.6
594,4687224819,3,5,4,5,3,3,4,3,5,6,-0.026739999999999996,2.6,1.8
2035,4687230913,5,3,1,5,6,5,3,6,5,6,0.0008000000000000119,1.8,2.4
1172,4687525648,2,4,5,5,2,3,5,1,5,5,0.002379999999999982,2.2,2.6
1497,4687738205,3,4,1,5,6,3,3,2,5,6,-0.0012199999999999989,1.6,2.0
1865,4688027943,3,1,1,5,2,3,2,4,5,2,-0.004100000000000037,2.0,2.0
423,4688041154,1,3,1,5,4,3,5,4,5,4,-0.0006200000000000094,2.8,2.0
48,4688162715,3,5,1,5,6,3,3,1,5,3,0.01581999999999999,2.0,2.0
572,4688285546,4,3,3,5,4,2,4,1,5,2,-0.047139999999999994,2.2,2.8
1679,4688441634,3,5,4,5,6,3,1,5,5,3,0.009440000000000004,2.0,2.4
681,4688490933,3,2,1,5,4,3,4,1,5,6,-0.008960000000000001,2.0,2.6
202,4688691880,2,3,1,4,6,3,3,4,4,6,-0.022099999999999988,1.6,3.8
201,4688794964,3,3,5,4,6,2,1,4,5,3,0.00796,2.2,2.6
317,4689603161,3,3,1,5,4,3,1,1,5,6,-0.019720000000000005,2.8,2.8
243,4689685776,6,3,1,3,2,3,1,4,5,6,0.006420000000000014,2.4,2.6
485,4689718201,3,3,4,5,2,3,1,5,5,6,0.017879999999999986,2.4,2.4
976,4689730512,2,2,4,5,6,2,3,1,5,6,0.024060000000000005,1.6,2.4
2120,4689737664,5,3,1,5,3,3,1,4,5,4,0.006079999999999997,2.4,3.4
259,4689859631,3,3,4,5,2,2,4,1,5,6,-0.014000000000000012,2.2,3.6
1285,4689892345,4,3,3,5,6,2,3,1,5,3,-0.027759999999999972,3.0,1.2
845,4689910270,3,1,3,5,4,3,3,1,5,6,0.028079999999999994,1.0,3.2
844,4689947460,2,1,5,5,6,3,1,4,5,3,0.012139999999999995,2.8,2.8
301,4689980408,5,4,1,5,2,2,1,3,5,2,-0.019320000000000004,2.6,2.0
242,4690059853,2,4,5,5,6,3,1,3,5,6,0.013899999999999968,2.4,3.0
593,4690278349,2,1,4,5,6,1,3,1,5,4,0.00988000000000001,2.6,2.6
258,4690354064,3,3,1,5,3,3,2,4,5,4,-0.013860000000000006,2.4,1.6
