,0
0,30.070965
1,32.995872
2,19.749378
3,18.830124
4,-17.488695
5,39.579647
6,-53.083263
7,-21.326855
8,14.233719
9,-27.386969
10,63.33459
11,63.723877
12,-17.06167
13,-30.055695
14,-46.587345
15,2.2633424
16,20.746395
17,50.76906
18,-25.017685
19,53.879852
20,-19.173807
21,-68.98497
22,-44.627785
23,68.13073
24,67.08403
25,78.24178
26,-45.30757
27,-44.838963
28,68.67691
29,66.69954
30,74.218605
31,68.00055
32,49.302933
33,34.24365
34,-40.771713
35,25.472458
36,60.491238
37,-43.424244
38,-31.954565
39,32.988274
40,-28.381756
41,27.705627
42,-36.046005
43,-7.4967484
44,-11.523184
45,-34.10987
46,-4.497329
47,-6.3189864
48,-70.970604
49,49.58688
50,-49.719322
51,52.72683
52,5.5004516
53,23.936516
54,27.41497
55,8.829682
56,-73.2528
57,-14.812674
58,-54.16301
59,76.77827
60,69.86093
61,62.342323
62,-45.544636
63,-0.17544097
64,34.88284
65,53.36592
66,-37.591843
67,-28.956284
68,-72.13088
69,14.137053
70,70.16287
71,20.620167
72,7.831843
73,-59.552906
74,-52.162155
75,-40.747932
76,-45.919662
77,18.66803
78,-16.259687
79,-54.83809
80,-61.619076
81,26.843498
82,26.96981
83,-67.972374
84,-77.022446
85,-26.618631
86,-12.982174
87,22.679407
88,31.051558
89,-40.555412
90,2.9559639
91,63.04427
92,-9.397313
93,-51.74846
94,-42.608833
95,38.896687
96,-5.595848
97,34.22332
98,-50.5282
99,16.073845
100,-28.61627
101,0.3302895
102,12.603386
103,-53.376545
104,-7.535111
105,-26.665785
106,-54.247463
107,68.44289
108,24.416857
109,-29.812822
110,66.99268
111,-75.35959
112,4.0481424
113,31.217772
114,-63.5968
115,52.91507
116,-21.405443
117,-26.373047
118,-20.513548
119,25.938261
120,-63.694347
121,-15.777299
122,17.335783
123,1.0715115
124,-15.452722
125,0.5390299
126,26.863068
127,6.862797
128,-18.145037
129,3.5216131
130,71.63209
131,-24.288849
132,-20.064018
133,-12.129235
134,53.282578
135,19.013493
136,20.610268
137,-2.9424443
138,-13.666004
139,-13.762325
140,-44.931087
141,40.906357
142,-6.9450846
143,17.716192
144,22.568686
145,35.937443
146,-53.082653
147,-48.310505
148,-25.462702
149,11.291793
150,4.3725295
151,34.82121
152,1.9105885
153,3.0230935
154,55.48794
155,-21.530622
156,12.90944
157,14.218066
158,48.820545
159,33.747784
160,12.206244
161,63.59004
162,-9.06399
163,30.836554
164,8.821063
165,15.6326
166,2.8848271
167,51.65773
168,10.374075
169,65.85453
170,36.68384
171,31.111221
172,32.272755
173,-48.852936
174,-7.631203
175,48.406784
176,18.516981
177,-45.819824
178,-75.78813
179,1.2234384
180,-51.5732
181,20.05289
182,71.82229
183,22.412886
184,14.166861
185,-24.77326
186,-2.8097734
187,22.617523
188,-1.8699864
189,49.678352
190,-27.708767
191,-71.65178
192,60.2507
193,6.2520494
194,-19.930128
195,-11.766531
196,4.8522487
197,-24.504873
198,-50.41711
199,-74.85337
200,-21.316715
201,53.838825
202,12.540954
203,22.982267
204,40.206535
205,12.580126
206,-68.877045
207,28.641607
208,-2.9848921
209,-32.25296
210,-40.48268
211,-47.68269
212,-52.64597
213,-16.685753
214,15.033036
215,44.643677
216,0.08473197
217,-48.735275
218,-35.819622
219,-16.778858
220,24.187395
221,-22.24376
222,10.548974
223,45.884445
224,0.916064
225,-19.45877
226,20.926592
227,-27.535772
228,64.170906
229,62.120396
230,-0.7080989
231,8.712857
232,-62.238647
233,50.980274
234,12.25234
235,7.6863027
236,38.972256
237,-12.391146
238,43.966473
239,7.0997477
240,-16.66421
241,-23.334635
242,-39.79802
243,-50.10657
244,-38.55249
245,-75.1315
246,-70.24101
247,76.523636
248,-53.936592
249,-50.25943
250,57.350357
251,-6.5872955
252,-2.8165972
253,-50.00387
254,-75.14922
255,70.19411
256,76.847565
257,49.340096
258,-72.36715
259,77.01409
260,26.594591
261,-76.20799
262,72.19692
263,26.589151
264,62.471424
265,69.26209
266,-34.23249
267,58.77165
268,24.057114
269,-76.191315
270,69.861275
271,-76.9364
272,60.82222
273,-32.928654
274,-71.12506
275,25.6316
276,-77.51391
277,-77.66132
278,65.451065
279,-2.2204478
280,-61.762646
281,58.904232
282,66.826385
283,66.72705
284,-28.69698
285,12.987758
286,-51.566666
287,27.604939
288,49.503933
289,-51.59506
290,-33.15081
291,-2.29628
292,58.169434
293,-8.379331
294,-17.794096
295,-22.155365
296,-55.34627
297,52.74464
298,23.26701
299,-18.610733
300,-54.54757
301,52.918495
302,69.36687
303,-43.778976
304,-55.91424
305,-55.9649
306,-7.449215
307,-74.630325
308,52.6694
309,42.732487
310,-54.38785
311,-45.906075
312,64.63208
313,66.63632
314,-57.46472
315,64.00733
316,22.16562
317,-16.631083
318,35.246292
319,-27.984346
320,-27.24777
321,18.91883
322,-36.31705
323,-57.82794
324,-67.769424
325,44.165497
326,-35.65834
327,14.690056
328,32.056976
329,-45.440117
330,-0.42211357
331,-54.75917
332,-26.4834
333,-52.67395
334,-45.550076
335,-8.381023
336,41.281586
