,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
0,GRANDMASTER,LzaVwiWI2epzjMwhxTQWdnqm5UmZpw2VL8uUBxyBRoQx6AQ,상록중,465,859,836,False,False,True,False,rmENtbyddaGgLtLktYhSd3USqSZMPGAkIugqWQD3IqtRmjM
1,GRANDMASTER,ZzzraaXCvB-JC0jUXCO1OiCrc70fbFAenyaEZV6GXbs6Ris,어린아이,429,235,146,False,False,True,False,d6uQQ7dhZWowIrdyuzNGYwfOmKfBBzJdXmYO8uRfgK4o4E6e9ESNHNYi
2,GRANDMASTER,0P9fw5GWtwvzaCPtyYn9G_A69h0ivE3v_k0YTzdQtHBFdD0,달인 카직스,619,190,180,False,False,False,False,-HspVEecUacWVy0K2mJdM0_TpHVDAzFTZUi51jhLGdljzN4
3,GRANDMASTER,ZFzFylvunoq_skWGIrE26nR5fmJzJUXR4azrP4bTDZLhjpg,Miss Jennie,474,982,934,False,False,False,False,mFGjmed2lW-7piD3Q6gx2BPz2j8Jd6nR-1wB0VnvtVxBTVWqtupVEC6q
4,GRANDMASTER,weMOuSbzX7lIbjHIuzQKPeiCFhS3FuzWCgj6dy7QnIF-b6I,HUYATV Osu,729,539,433,True,False,False,True,daOXRy7Jw_6tzppmctQf6Utie1XkYIQsnGBWY8ncA3GzevFGNOPXSZ1Q
5,GRANDMASTER,3U8J6JzWagVSwIVs6YQvQvoieQQMgp_shfc_8Y_Udi2H2w,흐 림,510,109,78,True,False,False,False,ko9xDCReXE9EYWr92RHaVWbnZeC66tImwtkojimIuUbd
6,GRANDMASTER,0gsArn0PN9gJ1yO_bZWtI0r5pCtf_h1r88M4wLSuc2-QxZ0,numbing,729,618,586,False,False,True,False,YulhLfB695lT32rXj2601TAFXK-BdLc_mnV1jlcMQf_rPdFME3WYm_Sy
7,GRANDMASTER,WYM_RwdX8EjqHvmSlVaHKaYTwxh1CZ8BH8MeNaYiHm0ZAU4,fengweiyu,491,1772,1733,True,False,False,False,BOzSNE-hlQXQz2zKvf_dHL3OFMEeQ_0-Hl2XZ5vMpmEK5AgpXVjBS0-f
8,GRANDMASTER,B-vOuBynzlwIKImmUqZyMX5J2I-WWLMQktdKEHSFlfZb3w,Catch XX,399,639,628,False,False,True,True,X_0wC5Dgx6pBrf84P7qQnj1VpZ986L7qMjQN2gt0zB-h
9,GRANDMASTER,zX7H2PQjxp1gwFA1hl850RiouYJ1E2TgTc-AzauF49rIqNI,곽곽보성,761,506,450,False,False,True,False,ALEuakAFbUeX5BSDCV71hOWyhJtN1mv--gycdMxvtRYZx1M
10,GRANDMASTER,qO4Bmaou_rs7-D2AIfzC8E8TfrnIr3i8-fk9s6VGvnMOvIs,노챗승리멘탈유지,485,823,818,True,False,False,True,4xraetjEZkVUeV0I-2UUwNzxTohWvRbvpiOWGWMUWsqEsXhLXuarz3--
11,GRANDMASTER,BN7TJysrW2FShxE-Ff77DZkXWkED_-CSTGKqK6UYCnBwDeWY,gu yue ge,527,163,69,False,False,False,False,g6OdkurN_9P6Osj1uTHRki8pKKDYewT821M3GWPb33MniszJqTKKfom1
12,GRANDMASTER,sNR2PR4rGY4JafqQxsGbKjDtE8lMZhqoBq3ixfIaL4Xb8iE,FA Lonely,607,412,375,False,False,False,False,vjYReWuwp41foQioQx0aAD9sjDFCJ0_bosgejXdyDGs5dy0
13,GRANDMASTER,5CqyEucTvLy-5RVyOAqQPCNtEMifELKQLPxwgB8U-6f57Q4,먕 하,826,261,172,False,False,True,True,NFWqR6hVWaMHHLkTF0sl48iH1BrYAvpMkw-4sqTYITMf94u015BoKEcB
14,GRANDMASTER,yX4o3Qohm8tAuZIiIKdhBqgRCBEdX_Z-1G0V3fiWkUB73g,대야웰백,374,397,371,False,False,False,False,GZwQENLPJT_fjgzMn_KgbwSvIDzh4mh3oFls0_v2_CS9
15,GRANDMASTER,Yky8Dz3OEMQCQk_bk8xy3kSzoqOgQIG6OEULKoyNUN4fszE,나 도일이,762,968,911,False,False,True,False,K63ljkoNlNViAzDLibmVxxgx5hjiY8V_iY1JpwWW6GgCTaVGkFnoDn9Z
16,GRANDMASTER,BNqOFwPwlYULz6yHRN-CwGuKzEU4ME3H11WkyvZmzAzoMyk,kuaiz1zzz,722,833,711,True,False,False,False,Ms0HXH1OPzUNxyKA2fvgu4b1usvVdsp3oXW_DDsKVNpKEI_vFoJD7PDB
17,GRANDMASTER,isfAQLJEIDwZBqsm7LVV5AahkhpyFJKohQgT_oWamTcl3c0,오 희태식이,404,348,268,False,False,False,False,gog7cxZa6Aet-U9H11JvITc8_N2-sP1KfwEn_vnevsGcgsFKLVOBxtFa
