,Champion,Blue W_R,Red W_R,AFK rate
0,Corki,0.3714,0.5873,0.00565702451945814
1,Cho'Gath,0.3962,0.5597,0.006638648334259855
2,Trundle,0.4,0.5517,0.005719207021389278
3,Taliyah,0.4074,0.5537,0.005900435656328543
4,Tahm Kench,0.3279,0.463,0.007752395596164146
5,Skarner,0.4603,0.5865,0.0044664817477859855
6,Sona,0.6045,0.4798,0.004220175433957448
7,Nidalee,0.4147,0.5351,0.005842176043278805
8,Kled,0.5355,0.4225,0.007347488709471277
9,Jarvan IV,0.4545,0.5628,0.006441841934149461
10,Talon,0.4652,0.5731,0.008016487185267835
11,Heimerdinger,0.407,0.5147,0.007063009126363447
12,Malzahar,0.5385,0.4336,0.004799699451338756
13,Aphelios,0.4083,0.5128,0.007283997711577084
14,Fizz,0.472,0.5711,0.006003841100134114
15,Thresh,0.4378,0.5247,0.005077082543716429
16,Aurelion Sol,0.4138,0.5,0.005410323841778022
17,Kennen,0.4356,0.5213,0.007462990508678571
18,Zac,0.4505,0.5335,0.004364442280085
19,Udyr,0.4729,0.5436,0.007650052468534653
20,Kalista,0.4667,0.4,0.0064090304566511765
21,Syndra,0.4353,0.5,0.0052493462161583865
22,Ahri,0.5469,0.4823,0.004793809320884262
23,Singed,0.5602,0.4973,0.005062512732990424
24,Draven,0.5573,0.4961,0.00818823974502186
25,Ivern,0.5922,0.5333,0.004848006527218639
26,Rengar,0.5676,0.5134,0.00964363871950622
27,Jinx,0.4549,0.5083,0.004220297185098901
28,Jayce,0.4345,0.4877,0.0075475180137434235
29,Viktor,0.4409,0.4921,0.004508500269701099
30,Karthus,0.4569,0.507,0.006553009058372307
31,Caitlyn,0.4523,0.5006,0.004413062363234518
32,Xerath,0.4324,0.4797,0.005855012373716475
33,Shyvana,0.5459,0.5,0.006069183427330803
34,Nami,0.5267,0.4815,0.002838877397551104
35,Twisted Fate,0.4566,0.5016,0.005467174947187816
36,Taric,0.4741,0.5183,0.0043486285086783375
37,Gangplank,0.5119,0.5556,0.005877057331489942
38,Evelynn,0.4435,0.4861,0.006107429728747118
39,Gnar,0.5155,0.5581,0.005958694073461521
40,Orianna,0.4656,0.5066,0.004218793842663803
41,Zilean,0.5444,0.5035,0.00452958227106864
42,Annie,0.4838,0.5242,0.004614781879369108
43,Anivia,0.5062,0.4658,0.004830260539629678
44,Vladimir,0.4876,0.5271,0.006689456621804474
45,Rumble,0.5551,0.516,0.00482004071599439
46,Sejuani,0.4574,0.4958,0.004478720717172886
47,Amumu,0.5126,0.5508,0.004892403419143262
48,Lillia,0.5021,0.4647,0.004793544325019865
49,Ryze,0.4909,0.5282,0.007134361040206086
50,Lulu,0.5011,0.5381,0.0030279294013772972
51,Wukong,0.5257,0.5625,0.006809921928311622
52,Aatrox,0.4676,0.5042,0.007948966021532135
53,Qiyana,0.4776,0.5139,0.0062897162741971015
54,Xin Zhao,0.5685,0.5328,0.008277183441016736
55,Sion,0.4679,0.4324,0.005889564180009436
56,Rammus,0.4655,0.4301,0.004026685846384987
57,Zed,0.4969,0.5318,0.0074198613706628076
58,Galio,0.5158,0.5506,0.004261878740951755
59,Dr. Mundo,0.5545,0.52,0.005892202660307449
60,Kayle,0.4722,0.5052,0.006024904313300158
61,Warwick,0.4861,0.5183,0.006828732128642306
62,Lucian,0.4543,0.4864,0.006393808368573133
63,Neeko,0.5238,0.5556,0.005671077890361457
64,Ezreal,0.469,0.5006,0.004606944411307346
65,Zyra,0.5026,0.4713,0.0034847712725090485
66,Varus,0.3878,0.3571,0.006226366958717485
67,Hecarim,0.4987,0.5293,0.004819053121536039
68,Sett,0.4208,0.4507,0.007113838219003418
69,Vayne,0.466,0.4948,0.005655307690792894
70,Pyke,0.4686,0.4968,0.006066310325464176
71,Poppy,0.4948,0.5227,0.005694805209076379
72,Veigar,0.5065,0.5344,0.0054197118607798595
73,Nocturne,0.4769,0.5035,0.005624452428490727
74,Morgana,0.5011,0.527,0.005032013942951918
75,Cassiopeia,0.4948,0.5204,0.006632080925602642
76,Ashe,0.5236,0.5488,0.004975895044820744
77,Ekko,0.5168,0.4923,0.00591527973730914
78,Kog'Maw,0.3571,0.381,0.007235015812919887
79,Irelia,0.48,0.5021,0.008363000437851329
80,Rakan,0.5423,0.5204,0.004450469660773662
81,Jhin,0.5199,0.4985,0.004976989995333758
82,Elise,0.5095,0.4884,0.005215266001689083
83,Kassadin,0.5272,0.5062,0.0057204225858852814
84,Graves,0.5162,0.4954,0.006505327242371254
85,Blitzcrank,0.4834,0.5039,0.00511886999181334
86,Malphite,0.4615,0.4817,0.0048433534020777295
87,Nasus,0.4747,0.4942,0.006488341792866565
88,Twitch,0.4882,0.5073,0.007089057793106349
89,Teemo,0.496,0.515,0.00640357952580828
90,Miss Fortune,0.5285,0.5097,0.004371438111433823
91,Riven,0.5321,0.5146,0.0072197266939886115
92,Fiora,0.5481,0.5307,0.006023255660947398
93,Nautilus,0.4872,0.5042,0.004417057715793974
94,Kha'Zix,0.4994,0.5162,0.0062367614860830535
95,Janna,0.511,0.5275,0.004395283214011804
96,Renekton,0.4762,0.4916,0.0065826364986233165
97,Camille,0.5251,0.5099,0.006734609935020575
98,Nunu & Willump,0.5263,0.5412,0.0055876634221915964
99,Yasuo,0.4984,0.4838,0.008678833749712286
100,Braum,0.503,0.4885,0.0043560100970686565
101,Xayah,0.4638,0.45,0.005522260038929935
102,Karma,0.4346,0.4483,0.0048180588162784225
103,Yuumi,0.4754,0.462,0.00525844913664339
104,Samira,0.5182,0.5051,0.00480000720703422
105,Seraphine,0.4804,0.4935,0.004904084628079717
