,blue_WR,red_WR,more_50_WR,champ_role,number,name
6,0.5041,0.5466,0.5937,2.0,1,애니
83,0.5014,0.5071,0.5746,3.0,2,올라프
31,0.5281,0.5364,0.5581,6.0,3,갈리오
125,0.5016,0.4565,0.532,2.0,4,트위스티드 페이트
141,0.5024,0.5027,0.5319,3.0,5,신 짜오
128,0.5005,0.4814,0.5653,3.0,6,우르곳
61,0.5042,0.505,0.5478,1.0,7,르블랑
135,0.4703,0.4712,0.5108,2.0,8,블라디미르
28,0.5277,0.5161,0.5954,2.0,9,피들스틱
54,0.5012,0.5115,0.6041,3.0,10,케일
72,0.4937,0.5097,0.5958,1.0,11,마스터 이
3,0.5337,0.5077,0.5297,6.0,12,알리스타
98,0.4576,0.4897,0.5456,2.0,13,라이즈
108,0.5286,0.469,0.5068,6.0,14,사이온
109,0.4574,0.5097,0.4932,7.0,15,시비르
112,0.4895,0.496,0.5341,4.0,16,소라카
120,0.5,0.5097,0.5495,7.0,17,티모
122,0.4983,0.5252,0.5506,7.0,18,트리스타나
137,0.5174,0.5011,0.5964,3.0,19,워윅
82,0.5429,0.5139,0.6246,6.0,20,누누와 윌럼프
73,0.5235,0.4981,0.5486,7.0,21,미스 포츈
8,0.5263,0.5247,0.5367,7.0,22,애쉬
124,0.431,0.4379,0.501,3.0,23,트린다미어
44,0.519,0.514,0.5703,3.0,24,잭스
75,0.4928,0.5067,0.5344,2.0,25,모르가나
149,0.525,0.5429999999999999,0.5615,4.0,26,질리언
107,0.4955,0.4945,0.5668,6.0,27,신지드
26,0.4923,0.5241,0.5635,1.0,28,이블린
126,0.4734,0.4538,0.5342,7.0,29,트위치
51,0.4882,0.5057,0.5272,2.0,30,카서스
18,0.4937,0.5,0.6047,6.0,31,초가스
4,0.5225,0.5069,0.5927,6.0,32,아무무
92,0.5279,0.5214,0.6278,6.0,33,람머스
5,0.4973,0.4881,0.5843,2.0,34,애니비아
104,0.5156,0.4907,0.5349,1.0,35,샤코
22,0.5161,0.4624,0.5909,3.0,36,문도 박사
111,0.5037,0.5187,0.5495,4.0,37,소나
52,0.4663,0.4672,0.5309,1.0,38,카시딘
40,0.45799999999999996,0.4684,0.5256,3.0,39,이렐리아
42,0.5264,0.5056,0.5676,4.0,40,잔나
32,0.4462,0.4557,0.4826,3.0,41,갱플랑크
19,0.4493,0.4753,0.504,7.0,42,코르키
50,0.4585,0.4748,0.5162,2.0,43,카르마
119,0.5223,0.5404,0.6062,4.0,44,타릭
131,0.4912,0.4775,0.5477,2.0,45,베이가
123,0.4572,0.4717,0.5432,3.0,48,트런들
113,0.5067,0.5063,0.5795,2.0,50,스웨인
15,0.4813,0.4788,0.5206,7.0,51,케이틀린
12,0.5062,0.4987,0.5523,6.0,53,블리츠크랭크
69,0.5379999999999999,0.5445,0.5710000000000001,6.0,54,말파이트
53,0.5124,0.5039,0.5255,1.0,55,카타리나
81,0.4962,0.5063,0.4913,1.0,56,녹턴
71,0.5381,0.5411,0.5766,6.0,57,마오카이
94,0.5056,0.4996,0.5658,3.0,58,레넥톤
43,0.4917,0.4715,0.5535,6.0,59,자르반 4세
25,0.5296,0.5274,0.5618,2.0,60,엘리스
84,0.4926,0.5092,0.5573,2.0,61,오리아나
138,0.5316,0.5413,0.5906,3.0,62,오공
13,0.5153,0.5109,0.5752,2.0,63,브랜드
62,0.46399999999999997,0.4638,0.4828,3.0,64,리 신
130,0.5057,0.4944,0.5632,7.0,67,베인
97,0.5284,0.4679,0.5236,3.0,68,럼블
17,0.5283,0.5172,0.5533,2.0,69,카시오페이아
110,0.5434,0.5395,0.6391,3.0,72,스카너
38,0.5265,0.5266,0.5409,2.0,74,하이머딩거
77,0.5004,0.4811,0.5714,3.0,75,나서스
80,0.4706,0.4845,0.5152,1.0,76,니달리
127,0.5147,0.525,0.5874,3.0,77,우디르
87,0.5292,0.5269,0.5844,6.0,78,뽀삐
35,0.4933,0.4435,0.5214,3.0,79,그라가스
86,0.5072,0.5103,0.5429,3.0,80,판테온
27,0.4747,0.4735,0.5059,7.0,81,이즈리얼
